10    -78.2369       7.7319    
20    -78.0692       8.9196    
30    -71.1506       9.9489    
40    -66.1729       2.8041    
50    -63.7299       8.2667    
60    -71.3676       6.8446    
70    -56.3631       9.2519    
80    -68.3441      10.0020    
90    -65.9720       6.6445    
100    -63.5887      10.1916    
110    -64.6038       7.6871    
120    -54.8878       8.1145    
130    -58.3779       7.6944    
140    -54.0409       6.7660    
150    -60.0665       8.0107    
160    -60.6823       6.1578    
170    -50.5479       9.7541    
180    -49.2434       4.7145    
190    -46.3320       5.5390    
200    -49.3515       8.5754    
210    -48.2472       6.4420    
220    -47.7949       4.0069    
230    -55.9771      10.8541    
240    -54.8082       4.2451    
250    -63.2725       7.4139    
260    -64.9577       7.3119    
270    -63.0531      14.4938    
280    -49.7120       4.8696    
290    -51.5310       5.2413    
300    -54.7415       5.2565    
310    -53.8815       9.1255    
320    -47.3402      10.7268    
330    -53.0378       9.2480    
340    -53.4034      10.3330    
350    -55.3230      12.5881    
360    -70.1473       8.9076    
370    -64.2489       7.1584    
380    -63.1887       6.3715    
390    -62.0665      11.3939    
400    -67.1638       9.5559    
410    -65.8544       8.1207    
420    -63.7376       3.5522    
430    -66.1079       7.5442    
440    -67.0532       5.1046    
450    -66.4803       4.6277    
460    -66.9415       7.3900    
470    -68.2575      13.8901    
480    -72.5556       6.0041    
490    -72.7232       4.5493    
500    -71.6233       8.8047    
